experiment,0,1,2,3
"[22,50,5]_train",8.23887766928301,8.09382578634857,8.301417225446338,8.56045989819304
"[22,5,50]_test",3.5089651727874824,3.646273632160047,3.6260818679082507,3.5457493008593755
"[22,5,50]_train",1.2223220612393257,1.2409707086076898,1.2029274123849958,1.2172890270049606
"[200,5,5]_test",5.258341182854968,5.258341182854968,5.258341182854968,5.258341182854968
"[200,5,5]_train",5.374619852309674,5.374619852309674,5.374619852309674,5.374619852309674
"[200,20,5]_test",7.012899535627443,7.012899535627443,7.012899535627443,7.012899535627443
"[200,20,5]_train",6.764987342900864,6.764987342900864,6.764987342900864,6.764987342900864
"[200,10,5]_test",5.559001022502236,5.559001022502236,5.559001022502236,5.559001022502236
"[200,10,5]_train",5.561416272627281,5.561416272627281,5.561416272627281,5.561416272627281
"[22,50,20]_test",7.580452850283319,7.673957600402232,7.346007285820834,7.034517623962373
"[22,50,20]_train",0.08682838030686818,0.09548168518844855,0.09202394320041603,0.08990429934241889
"[200,5,10]_test",5.284376663558248,5.284376663558248,5.284376663558248,5.284376663558248
"[200,5,10]_train",5.54097692455615,5.54097692455615,5.54097692455615,5.54097692455615
"[200,10,10]_test",5.686359156114146,5.686359156114146,5.686359156114146,5.686359156114146
"[200,10,10]_train",5.54052920997118,5.54052920997118,5.54052920997118,5.54052920997118
"[22,10,50]_test",3.926214947550322,3.8766583655701052,3.9516475735960714,4.154651112200279
"[22,10,50]_train",0.2661820006114778,0.25274421476536296,0.2587179460433932,0.2531603343788923
"[22,20,20]_test",7.211124184681726,7.5129443366238915,7.200749270426052,7.214079757025299
"[22,20,20]_train",0.4793528877683076,0.6090302984419048,0.5044822814720541,0.4923381053567775
"[200,10,50]_test",4.728009973760659,4.728009973760659,4.728009973760659,4.728009973760659
"[200,10,50]_train",0.3759584635468794,0.3759584635468794,0.3759584635468794,0.3759584635468794
"[22,20,50]_test",4.75646979031237,5.035132261047777,4.891189122204079,5.063082997802228
"[22,20,50]_train",0.1222733653832769,0.12067310783513194,0.12138110144113394,0.11809126445619943
